Location	Name	ID	Count/Charges	Slots
Head	Empty	0	0	0
Primary	Test Sword	100	1	0
General1	Small Pouch	200	1	4
General1-Slot1	Health Potion	201	5	0
General1-Slot2	Empty	0	0	0
General2-Slot1	Spell: Test Spell	500	1	0
General-Coin	Currency	0	12345	0
Bank1	Empty	0	0	0
Bank2	Test Ore	300	10	0
SharedBank1	Shared Bag	400	1	8
SharedBank1-Slot1	Shared Item A	401	2	0
SharedBank10	Last Real Slot Item	410	1	0
SharedBank11	Ghost Item	420	1	0
SharedBank11-Slot3	Ghost Slot Item	421	1	0
SharedBank30	Empty	0	0	0
Bank-Coin	Currency	0	999999	0
